class,tweet
0,We’re taking important steps to help guarantee the basic security of paid family leave. #LeadOnLeave
1,Advisory: Standing Water: WB on highway at MM1 in Norfolk. travel lane closed. Potential Delays.:36AM
1," Hi, yes we have 40mins longer than normal travel time, SB between Sheppard West &amp; St Patrick Stations due to signal problems."
1,SD-: ROAD CLOSED btwn SD46 and Scotland.
0," Hi Ananya, thank you for reaching out to us. We will look into this and see what best can be done within our scope /"
1,"New: Disabled vehicle in Orange on highway east at Exit Ivanhoe Blvd, center lane blocked. Last updated at..."
1, Accident westbound on turnpike mile marker . Traffic backed up past .
2,"Cleared: Planned construction in Orange on highway west at Exit Floridas Turnpike, right lanes blocked. Last updated at ::30PM."
0,"“To my wife, Ricky, and all the mothers around the world, happy #MothersDay.” — Ralph Lauren "
2,Cleared: Incident on #ELine Queens bound at Roosevelt Avenue-Jackson Heights Station
2,Cleared | JUNEAU Co | Crash | highway EB | MILE MARKER | Left Lane | 
2,Snoqualmie: Snowing - Snow &amp; slush on roadway. highway is open to traffic. Westbound highway still has one lane closed at 
0," We're sorry to hear of the issues with your V-Class, Skelle. Have you discussed this with your local Workshop?"
0," That's great to hear, Shelley! Please let us know if you have any other questions. We're always happy to help. Thanks!^ReinaH"
0,I liked a video  World Records Gone HORRIBLY WRONG!
0, We're so happy you're a fan! Stop by for one anytime.
1,"Congestion-Delay on Eastbound highway EB at Mile Marker ..

Comments:
ROAD WORK IN PENNSYLVANIA."
2,Everyone in Toronto is heading to Niagara today the highway is jammed across the Skyway and miles before
2,All lanes are open on US 90B East at Tchoupitoulas Street. All lanes are open on the exit ramp from US 90B East to… 
1,Update: Accident: NB on highway at MM76 in Richmond. No lanes closed. Delay mi.:00AM
0,newly married girl in first night 
2,Cleared: Incident on #CLine SB from Euclid Avenue Station to Broadway Nassau Station
0," Hey Palvinder. To create an event for your Page, follow these steps: Hope this helps! -AH"
0,This the most suburban tweet I've ever seen. 
2,Cleared: Incident on #2Line at Van Cortlandt Park Station
2,"Cleared: Object on roadway in Walton on highway east at MM , right lane blocked. Last updated at ::13AM."
1,NB/SB from Division Dr to Pineview Dr will be closed from : pm to : pm
1,(/) Congestion from this incident has reached Loyola Avenue on US 90B West and Orleans Avenue on highway West.
0,PALMDALE LASD ....30th East and Palmdale Blvd....victim was shot at sitting at intersection.....  
2,US212: Open BOTH DIR btwn the Montana State Line and Beartooth Pass. -SEP : #wyoroad
0,Pretty much the best day of my life 
0,"is it still good practice to have name/contact info on checked bags, or is it an avenue for creepers now"
0,"Trump's withdrawal from TPP may be ""the greatest self-inflicted American blunder in Asia since the Vietnam War."" "
2,Cleared: Incident on #VariousBus Both directions from Gowanus Expressway:39th Street to Gowanus Expressway:Brooklyn Queens Expressway
1,"ROAD CLOSURE TOMORROW, /: West Mt. Pleasant Ave. eastbound lanes between Mounthaven Dr. &amp; Mt. Vernon Ct. More: "
0, Think it'll be beat by time we start?
0," takes us through her go-to maternity picks, and the unexpected way warm weather affects her family… "
2,highway N in Bradley McMinn Counties High Traffic Volumes between EXIT : PAUL HUFF PKWY. MM  at : PM / est clear by : PM / (ET
1,*-NEW-* HWY Westbound Off-ramp [ - Highway ] - Disabled Vehicle ...::
0,"New automated probe to test the performance of tomorrow's low-power, superconducting #supercomputers developed… "
0,Remember fired for mocking North Carolina's transgender bathroom bill on Facebook. But insult the president all you want!
0, Hey Lorraine - We'll let our team know you'd like to see this again! Thanks!
0,"Stay safe if you’re in #Irma’s path. Help is available when needed for impacted homeowners, renters.… "
0,Marriage equality? Affordable health care? Or economic progress? Tell him in person: 
1,"New: Planned construction in Orange on highway west beyond Exit 82B Anderson Ave, left lane blocked. Last updated at..."
0,Although the papers have been nice so far I'd be amazed if the A boundary was over % 
1,WY28: Reduced speed limits in effect between mp . and mp .. Speed limits strictly enforced. #wyoroad
2,Updated: Delays - NORWALK #I95 South at Exit (highway(CONN AVE)) at // :: AM
2,Cleared: Closure on #I295 NB at Exit 26N - highway/highway
0, Sure thing! Thanks for the shout out.
2,CLEARED: Roadwork on highway northbound between Exit 46A - highway North and Exit 46B - highway South.
1,Crash on highway Bridge SB (from AR into Memphis). Right lane blocked! Merge left! 
0,"Of those jobs, New Jersey, South Carolina, and New Hampshire employed the largest share of workers. "
2,Bankhead Tunnel will NOT be open for bikes and peds this Saturday due to the holiday weekend. #BikePedBankhead 
1,"Hamilton County - Bridge work requires lane and ramp closures tonight
"
0,Become a certified Level Tree Marker this fall with To register: admin or for course info:… 
1,BREAKING: Police say a male driver is without vital signs after a vehicle struck a pole near Eglinton Ave. and Torrance Rd.
0,"New leader should focus on crushing burden of #NCDs &amp; injuries, writes &amp;  "
2,Cleared: Incident on #MorristownLine EB at Morristown Station and Madison Station
0,Successful Innovation Teams Share These Realistic Traits 
1,"highway , Mile Marker , North, Gastonia, Gaston, Night Time Construction, Ramp Closed, at / : PM"
0,"#NicoleMalliotakis defends city's #ChristopherColumbus statue 

#BillDeBlasio is undecided 🤔
#NewYork #NYC #NY"
1,"A disabled semi reported in the left lane. on highway NB before Mile Rd, stop and go traffic back to Mile Rd, delay of mins #traffic"
2,Cleared: Closure on #GardenStateParkway SB at Exit - highway
1,All lanes now blocked highway WB before West. Traffic is stopped and quickly backing to International Airport.… 
2,Cleared: Incident on #NJ42 NB from North of Exit - College Dr to highway
2,Wet roads and rainy conditions may cause intermittent slow traffic in Broward County. Please use caution. 
2,"Cleared: Crash in Miami-Dade on Express north at SR-/NW St/Opa-locka Blvd, left lane blocked. Last updated at ::46PM."
2,"Cleared: Planned construction in Duval on highway E south at Dames Point, right shoulder blocked. Last updated at ::29PM."
1,"Update: Collision; highway WB: mi E of Exit149, lft ln clsd, Ocrd: :20PM.| :34P"
0,Meet the man who invented the Super Soaker — one of the best-selling toys of all time 
1,Incident on #4Line NB from Brooklyn Bridge-City Hall Station to 42nd Street-Grand Central Station 
1,Turnpike Roadwork on Pennsylvania Turnpike highway northbound between Exit - highway and -SR903 (E-ZPass Only) affecting the left lane
2,Cleared: Construction on #US9 NB at CR /Old Port Republic Rd/Leeds Point Rd
2,"Cleared: Object on roadway in Escambia on highway east at Escambia Bay Brg, right lanes blocked. Last updated at ::52PM."
2,Accident cleared in #Cleveland on Chester Ave EB at E 55th St #traffic 
0,"okay, #harva fans - a 'lil something to keep you happy #Shadesofblue  "
0,The crew returns. #ShadesofBlue Season is coming. 
2,UPDATE: Incident cleared on highway westbound at Mile Post: .. There is a residual delays.
1,Disabled vehicle on highway southbound at Exit - highway West. There is a shoulder closed.
2,Cleared: Accident: EB on highway at MM212 in New Kent Co.:56AM
0,A Chef's Confession: It's Tough to Always Be an Outsider 
1,Routine Maintenance between MP &amp; on highway. Road closed. Seek alternate route. 
1,Main Street Bridge roadwork on both sides today: NB right lane and SB the left lane is blocked. The Acosta will get you around any delays
2,US89 :Crash at Alpine Jct mp has been cleared. Delays easing. : #WYOROAD
1,Construction on #DLine BothDir/BothDir from 167th Street Station to Tremont Avenue Station 
2,SH- GRAND PARKWAY - West Northbound At highway Northwest - Other - Status: Cleared at : AM
0, Hello Jeff! We would be happy to help you with your billing! Please DM us details so we can start! ^RoseC
1,"Accident, two lanes blocked in #SouthwestDade on SR- Florida's Tpke Ext SB after Bird Rd, stop and go traffic back to SR- Dolphin Expy"
0,Turnover on downs. GP takes over at the . : remains.
2,"Cleared: Object on roadway in Duval on highway west at Exit Mcduff, left lane blocked. Last updated at ::03PM."
1,Motor Vehicle Accident | Indian Trl (GRISSOM LN/DENTON DR) | | EN30 | | : | C
0,when the going get tough i'm the one who ain't going no where ..
0,Hurricane force winds hit Florida Keys. shelters have been opened in Florida. Shelters near you➡️… 
0,It's #EMSWeek. Thank you to EMS practitioners around the country for the lifesaving services you perform every day… 
2,Cleared: Construction on #GLine Queens bound from Church Avenue Station to Smith-9th Sts Station
1,Roadwork on highway southbound at Exit - Walker Rd. There is a ramp restriction.
2,US191: Open BOTH DIR between Pinedale and Jackson. -JUL :
1,"Vehicle Accident on Northbound highway NB at Mile Marker ..

 of northbound lanes are closed.

Be prepared to stop, use caution when tr..."
2,"Cleared: Crash in Broward on Pembroke Road west at highway, right lane blocked. Last updated at ::12PM."
1,"Accident, shoulder blocked in #Merrifield on highway WB between The Beltway and Nutley St {Exit ], jammed back to Dulles Connector Rd"
2,Updated: Delays - DARIEN #I95 North . miles before Exit (RTE (TOKNEKE RD)) at // :: AM
1,Dav - nb on ramp closed in #Miami on SR- Dolphin Expy WB at NW 27th Ave #SFLtraffic 
0,Oh boy. This calls for some heavy and thoughtful car regulation. Because what's heavily regulated can't kill people… 
0,There is no known permit for this March so instead of attempting to shut it down they've closed businesses and blocked off Main street.
1,Construction on #NY5 Both directions at Village of Elbridge; Town of Elbridge 
1,US14 Shell - Antelope Butte Mtn Rec Area: Closed BOTH DIR due to crash. Antelope Butte Mtn Rec Area - Elk View: Open to all traffic BOTH...
2,Cleared: Incident on #AtlanticCityExpressway WB at Exit - CR - Berlin - Crosskeys Rd
2,highway both directions in Hamilton Co High Traffic Volumes between GA-TN STATE LINE MM at : PM / est clear by : AM /
0," OHSAA DII State Champions! This is our program's 7th, which ties an OHSAA record for most in program history "
0,"Russians used social media to push false stories, to place divisive ads and to organize protests in the US. Their goal was to tear us apart."
1,Update: Disabled Vehicle: WB on highway at MM53 in Fairfax Co. travel lanes closed. Potential Delays.:34AM
0," accordingly so that this should not happen again.
-Krishna
Service tag :  ()"
0,Stamford CT #USA - Highway Engineer - Your Capabilities and Credentials Bachelor of Science BS degree in C... #WORK
2,CLEARED: Turnpike Roadwork on northbound between -SR903 (E-ZPass Only) and -Wilkes Barre affecting the right lane
1,"Crash
 W at S Davis Co.
Est. Clearance Time: : PM"
2,Real-time traffic update: congestion on highway eases up slightly miles north of Cheyenne near Chugwater. #Wyoming #WYEclipse
2,"Cleared: #Tay: #HWY400 NB Port Severn Rd, left shoulder and left lanes reopened. #ONHwys"
2,Ashfield - slow traffic northbound Frederick St at Parrramatta Rd
2,"Cleared: Planned construction in Broward on highway north before Pembroke Road, left lane blocked. Last updated at ::09PM."
2,CLEARED: Turnpike Traffic Alert on Pennsylvania Turnpike highway all directions between Exit - PA and Exit - highway/To highway affectin
1,"Location: EB highway exit to Little Mack 
Lanes Affected: Exit Ramp
Event Type: Disabled Vehicle"
2,"Cleared: Flooding in Miami-Dade on highway south ramp to Exit 10A North Miami/Bal Harbour/NW St, off-ramp closed. Last updated at..."
1,LANE CLOSURE DUE TO ICE on highway - NEAR TOWN PUMP IN BROWNING ON SE BOUNDARY STREET at milepost . ... 
2,RT in Townshend/Harmonyville #VT is back open to two lanes of travel.
1,Construction on #I86 EB at Exit - highway North; Ramp 
1,"Accident, highway West before SR /Fulton Industrial (Mile Post .), all lanes blocked. #FultonCounty #511GA "
1,"highway, from highway N to highway, Delay &lt; 20min, Road work has the left ln closed in both directions between Broadway an... "
0," While traveling and living in South we would be labeled Yankees, or dam Yankees if we stayed. The… "
2, MCO TSA Pre✓® lanes are generally open at 4am. Pls be sure to check w/ your airline for info on airport closings &amp; flight delays.
1,Updated: Incident on #HollandTunnel WB 
1,On highway northbound at highway there is a collision partially blocking the right lane.
0,he did that shit so smooth and effortless. im still amazed 
1,Roadwork on Garden State Parkway Southbound near Exit - New Jersey Turnpike/highway/highway/NJ  left lane closed until ::AM
2,"Cleared: Crash in Miami-Dade on highway north at SW Ave, right lane blocked. Content provided by Waze. Last updated at ::05PM."
2,I 89NB Middlesex #VT #BTV will remain open overnight. Inclement weather has changed the placement of steel beams for the bridge job.
0, I've got a headache but it's all over 😂 never touching a chemistry book again!!!
1,Incident: NB on highway at MM163 in Fairfax Co. travel lane closed. Potential Delays.:50AM
2,Cleared: Construction on # Line Queens bound from 74th Street-Broadway Station to Willets Point-Shea Stadium Station
2,Cleared: Incident on #7Line Manhattan bound at 42nd Street-Grand Central Station
1,Marin Sr1 / Steep Ravine Trail **Assist with Construction** 
1,Update: Incident on #7Line at Junction Boulevard Station 
1,Construction on #NJ7 Both directions from CR /Fish House Rd to North of Wittpenn Bridge 
0,"Chiefs using future draft picks to build present roster- Patrick Mahomes, Reggie Ragland, Cam Erving."
1,Updated: Incident on #B44Bus SB from Nostrand Avenue : Empire Boulevard to Nostrand Avenue : Linden 
2,UPDATE: North Ave near SR- still jammed. Will add 20m to your drive #ChicagoTraffic 
2,"G2, S1, S2, S4, S9: Due to traffic congestion at 16th St &amp; P St NW, buses are experiencing up to -min delays."
2,highway E in Montgomery Co Crash at MM  at : AM / est clear by AM / (CT
1,"Spilled load on roadway, caution in #SeWashingtonDc on highway SB between S Capitol St and 8th St SE, jammed back to 3rd St Tunl #DCtraffic"
0,Kid-Safe: Electricity Safety Rules For Every Child #SafetySaturday 
2,Cleared: Incident on #4Line SB at Kingsbridge Road Station
0,"Commerce Spotlight: Laurie Locascio, Acting Assoc Dir for Lab Programs #womeninSTEM #WomensHistoryMonth… "
0,Staying in the here and now is tricky business because your mi... More for Aquarius 
0,"FWIW -- while the Politico deleted the cartoon link on twitter, it's still up on the site 👇🏼👇🏼"
0,Took note of Coalition progress on stabilization which helped +% of #Tikrit's population return - Ramadi must be next. #DefeatingDaesh
2,Cleared | DANE Co | Crash | highway EB/WB | CAESER ST | All Lanes Blocked (Both Directions) | 
0,Yancey wants to know - what are some of the buzz words you currently use on your menu? (Restaurant BizTalk Forums) 
1,Updated: Incident on #66Bus WB at Port Authority Bus Terminal 
2,Cleared: Incident on #MLine from Forest Hills-71st Avenue Station to Jackson Hts-Roosevelt Avenue Station
1,Incident on #JLine Both directions from Myrtle Avenue Station to Marcy Avenue Station 
0,"my country, Kurdistan, is only a region but we already have a bigger chance to win the World Cup than England"
2,"Two lanes are now open at the EB Midtown Tunnel through rush hour, weekdays. Traffic is moving! #hrtraffic "
2,"Cleared: Crash in Miami-Dade on Express south before SR-/NW St/NW St, right lane blocked. Last updated at ::32PM."
0, Gensler offers academic resources to prep the next generations of designers. Learn more: #gCaseStudies
0,Foodservice.com welcomes Pillsbury as a new sponsor. Check out the free case muffin giveaway! ( top of page) 
0,Close your eyes. Open a telephone directory. Point at the page. Open your eyes. That's the name of the person who c… 
0,"Nearly , ppl have been affected by the floods in #Makurdi. is providing health supplies &amp; clean #water… "
2,Cleared: Incident on #M72Bus Both directions at 66th Street: Transverse
2,highway MM . NB near US 40E/ mile All lanes slow &lt;= mins due to an oversize load in transit
2,Cleared: Construction on #GeorgeWashingtonBridge WB at New York Side/Upper Level
1,San Bernardino I15 S At / Sr138 **Assist CT with Maintenance** 
0,M-KOPA Solar hopes to prove that solar energy can be marketed at scale in Africa: 
2,Updated: Traffic congestion in Orange on Floridas Turnpike north from Exit highway to beyond Exit SR ....
2,"Snoqualmie: Due to heavy weekend traffic volumes, westbound travelers are experiencing one hour or more of added t "
1,Alert | OZAUKEE Co | Crash | highway SB | MILE MARKER | Left Lane | 
1,"New: Crash in Osceola on highway east at Exit CR-, left lane blocked. Last updated at ::22AM. #fl511 "
1,Updated: Construction on #I287CrossWestchesterExpwy EB from Exit (highway) - Tarrytown (Rte ) to Exit ...
1,Incident on #NewJerseyTurnpikeWesternSpur NB at South of Northern Mixing Bowl 
0,“Bitch i told you dont use my government name” 
2,"CLEARED BUFFALO: Accident: EB on highway exit -exit : Left lane blocked: Incident clear, traffic normal."
2,Officials are just now letting one lane of traffic go through on northbound highway/ near exit #news3 
0,THE LOOP: We take a look at our booth at the Be sure to visit us in the Bricker Building!… 
0,"Shame on those who voted out Robertson and actually replaced him with a clueless, useless Tory tool! #DIDYE?… "
0," Girls #NPLFinals. #Teambonding, #armadafamily "
2,Cleared: Incident on #GardenStateParkway SB at North of Exit - Stiles St
0,", or merchandise consisting of or including a veterans' memorial, headstone, marker, or related object valued at less than $,."
1,Crash on NB highway after mile Rd blocking right and left center lane #wwjtraffic  
1,Update: Accident: EB on highway at MM64 in Fairfax Co. Right shoulder closed. Delay mi.:26PM
1,Southbound traffic still snarled for miles on WV Turnpike after crash st mile marker. #EyewitnessWV 
2,highway E in Davidson Co Crash Multiple Vehicles at EXIT : SR- / HARDING PL. at : PM / est clear by : PM /
0,Email Marketing Company Sailthru Leases Office Space at WTC 
2,Cleared: Incident on #1Line SB from 242nd Street-Van Cortlandt Park Station to 215th Street Station
2,CLEARED: Roadwork on highway eastbound between Exit - PA and Mile Post: ..
2,New: EMERGENCY VEHICLES highway WB BEFORE MASON RD RIGHT SHOULDER EST. CLEARANCE TIME: : PM
2,"OKC: I240 eastbound Penn, non-injury collision, roadway clear. RL"
2,highway E in Davidson Co Crash Multiple Vehicles at EXIT : SR- / HARDING PL. at : AM / est clear by : AM /
1,"Updated: Planned construction in Miami-Dade on Floridas Turnpike south at Exit SW St, all lanes blocked...."
1,Canadian: I40 WB mm107...non-injury accident...roadway is partially blocked at this time....CMH
2,Cleared: Construction on #CLine Both directions from 59th Street-Columbus Cir Station to Canal Street Station
0,Former coach and defensive guru Mike Pettine is in the house today breaking down blitz packages for an upcoming USA… 
1,"Vehicle Accident on Eastbound highway EB at Linville Drive (Barboursville).

Be prepared to stop, use caution when traveling through this a..."
1,OKC/Edmond: Multiple accidents working on I35 southbound between 2nd St and the Kilpatrick Turnpike.......FS
0,":)RT Since our move to has been slightly delayed, we're doing what you do in an empty library "
0, We're so sorry! Can you please send us a DM so we can report this and replace the cereal for you?… 
2,CLEARED: Roadwork on highway westbound between Exit 331B - highway North and (End Of highway).
2,"Cleared: Crash in Sumter on highway north at Exit CR- and traffic backed up until MM , all lanes blocked. Last updated at ::37PM."
2,RT StrayFM: TRAVEL #Harewood Slow traffic on A61 Harrogate Road at A659 The Avenue (Harewood Bridge). In the roadworks area #straytravel
1,Right lanes open highway east. The left will remain closed for some time. Going to be slow.
2,ALL LANES FINALLY OPEN 5S @ ! Deadly crash investigation complete. Still major delays but stick w/ the freeway!… 
2,New: ACCIDENT highway WB PAST ARSENAL ST RIGHT LANE CLOSED EST. CLEARANCE TIME: : AM
1,Update: Vehicle Fire: NB on highway at MM140 in Stafford Co. travel lane closed. Potential Delays.:14PM
2,ALL CLEAR: The delay southbound at Dundas Station has cleared. Regular service has resumed on Line . #TTC
1,Suffolk-MMMBT Northbound . Disabled vehicle in tube blocking all lanes. Backups to College Dr. Expect Delays. #hrtraffic
0,Got jammed one day for a lil bit so I wrote jokes till I got released... NEW JOKES THIS WEEK 😂 da love is real… 
2,"Cleared: Crash in Miami-Dade on SR- east at NW Ave, left lane blocked. Content provided by Waze. Last updated at ::27PM."
2,Updated: Delays - NORWALK #I95 North at Exit (EAST AVE #) at // :: AM
2,CLEARED: Multi vehicle crash on highway westbound at Exit 331B - highway North.
0,"Food festival showcases locally grown food, new technology across NB "
0, PERCENT of the donations we are raising go to women and families in need in the Houston… 
2,CLEARED: Turnpike Roadwork on Pennsylvania Turnpike highway all directions between Exit - highway/PA and Exit - highway/PA affecting t
0,#Okeanos is almost on bottom. Diving now to ~ meters at Swains Island. LIVE: 
0,Cool so the NYT published a story about Boba Guys in calling boba a confusing new food trend of exotic blobs f… 
2,#TrafficAlert FINAL Merced County southbound SR- Shanks Road On-ramp OPEN following cleanup of traffic incident 
2,CRANFORDPD: Cranford Fall Street Fair Today From 11AM-5PM. Expect Traffic Delays in Downtown. 
2,"Cleared: Crash in Orange on highway west at Exit Fairbanks Ave, right lanes blocked. Last updated at ::32AM."
1,highway: Crash from Exit - East Bush Lake Road to West Bush Lake Road (near Edina). 
2,highway N in Williamson Co Crash Multiple Vehicles at MM  at : AM / est clear by : AM / (CT
2,OKC: I40 eastbound at Portland is clear ... CLS 
1,"highway, @ Sunnyside Rd, Delay &lt; 20min, A fire has the on-ramp and right ln closed NB @ Sunnybrook Rd, use an alter... "
2,Remember to slow down and move over when you see our workers on the road. It's the law! #MoveOverMonday 
0,"Good morning New York! 🗽 Visiting our friends at the offices, great space &amp; team - but that view tho! "
2,highway E in Cumberland Co High Traffic Volumes at MM  at : AM / est clear by : AM / (CT
1,Update: Vehicle Fire: EB on highway at MM290 in Chesapeake. Entr ramp closed. Potential Delays.:44PM
1,"Crash
EB highway at MP ( mi W of UT/CO border) Grand Co.
Right Lane Closed
Est. Clearance Time: : AM"
1,Construction on #NJ23 Both directions from CR /Bradford Av to Willowbrook Blvd 
2,OKC: Collision has been cleared. - KM 
2,Cleared: Incident on #FLine Queens bound at W 4th Street-Washington Square Station
2,CLEARED: Turnpike Roadwork on Pennsylvania Turnpike PA northbound between Exit - PA Bus Harrison City and Exit - PA Forbes Rd
2,Bank traffic heavy &amp; slow at Walkley - construction. Duration unknown. Expect delays. #otttraffic
2,CLEARED: VEHICLE DISABLED IN ROADWAY at JOHN J DELANEY DR &amp; BALLANTYNE VILLAGE WY #CLT #CMPD_South
0,Dodged a bullet with the California roll 
1,Turnpike Roadwork on Pennsylvania Turnpike highway northbound between Exit - Pennsylvania Turnpike highway and Exit - PA affecting any
2,Anticipate extra travel time on our highways this weekend. Be sure to follow for up to date traffic… 
1,TRAFFIC ALERT highway: Northbound lanes are still CLOSED at CR-. Delays. Exit in Bushnell at SR- then take highway. 
1,Accident on highway between mile markers and close to split in Pender Co causing delays in both directions. 
2,All lanes of highway NB at mile marker are now open. #ILtraffic
2,Hope - westbound Hwy- Trans Canada Hwy west of Flood-Hope Rd/Exit collision - CLEAR
1,"Reports indicate KKK protesting begins at :. Durham streets closed, workers dismissed. Exercise caution if i… "
2,Cleared: Incident on #ALine SB at Canal Street Station
1,"b/d QM2 buses are detoured, due to flooding on Bell Blvd at St. Visit "
1,US191 Daniel Jct - Hoback Jct: Closed BOTH DIR due to winter conditions. -DEC : #wyoroad
0, Idiots still pay to listening to scam artist...
0,"All kinds of happiness 😤😤😤

#foreverychild, friendship 

Thanks for the photo "
0,You may be relishing your current anonymity because you don’t ... More for Libra 
2,highway W in Putnam Cumberland Counties High Traffic Volumes between MM  MM (MM: ) at : PM / est clear by : PM / (CT
1,Incident on #MLine WB at Knickerbocker Avenue Station 
0,"All of your ""How not to get raped"" tips? Complete &amp; total horseshit. Start teaching people not to be rapists. That might work."
1,Road Hazard at : in the area of EDWARD BABE GOMEZ AVE / Q ST. There is debris in the roadway. /EB traffic
2,Cleared: Off ramp backup in Orange on highway west at Exit 82A SR-. Last updated at ::55PM.
0,NEW – publication dates for FHFA’s House Price Index:  #housing
1,"EB KEARNS BLVD Closed
 at SILVER KING DR Summit Co.
Use Alt Route"
0,#LaborDay pays tribute to social &amp; economic achievements of U.S. workers. Learn more about the nation's labor force… 
2,"GDOTWestTraffic: CLEARED: Rolling Closure; highway NB, FROM SR /North Lee Street TO Bill Gardner Pkwy, Monroe Co..| :53A"
1,UPDATE: Lewis Ave -from 21st St to Wadsworth Rd is reduced to one lane in each direction due to roadwork.
1,"Crash
NB highway at MP (Pioneer Xing OFR) Utah Co.
Est. Clearance Time: : AM"
2,highway S in Davidson Co Crash at EXIT : SR- / US-41A / 8TH AV. / METRO CENTER BLVD. at : AM / est clear by : AM / (CT
0,NEW ISSUE! Out next week – shot by #heroprinceofpop More at 
0,One of favorite things is now available exclusively on the App Store. #BoldMoves 
0,"After Hurricane Andrew in , Florida adopted tough new building codes. They quickly paid for themselves. "
2,Cleared: Delays - CROMWELL #RT9 South . miles before Exit (RTE &amp; RTE ) at // :: PM
2,Cleared: Incident on #SprainBrookStateParkway SB at Exit  - Jackson Avenue
2,Abbotsford - eastbound Hwy- Trans Canada Hwy at Clearbrook Rd/Exit stalled vehicle in the right hand lane - CLEAR
1,"New: Disabled vehicle in Broward on University Drive north at Sunset Strip, right lane blocked. Last updated at..."
1,"Crash
EB S Mountain View Hwy, Salt Lake Co.
Right Lane Closed
Est. Clearance Time: : PM"
0,Updated Information on article entitled: ‘New Tory rules for Disabled Universal Credit claimants: Get a job or los…… 
2,Both directions of NB at Olive Drive in north Bakersfield are clearing after an jumper situation is resolved. SuzG
0,"Fun show tonight! and are here, plus performs! #FallonTonight"
